# File: A54.sector.csv
# Title: Transportation sector default supplysector information (units and logit exponents)
# Units: Unitless
# Column types: ccccicccc 
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,final.energy,logit.factor,energy.final.demand,logit.type
trn_freight,million ton-km,EJ,1990$/ton-km,-2,transportation,road / rail / air / ship,trn_freight,
trn_freight_road,million ton-km,EJ,1990$/ton-km,-1,transportation,truck size classes,trn_freight,
trn_shipping_intl,million ton-km,EJ,1990$/ton-km,-3,transportation,,trn_shipping_intl,
