# File: A54.CalPrice_trn.csv
# Title: Prices by service in the base years. Used to calibrate sigma parameter
# Units: 1975$/unit
# Source: GCAM v6.0 output
# Column types: ccnnnn 
# ----------
region,sector,1990,2005,2010,2015
Middle East,trn_aviation_intl,0.0815214,0.0848434,0.0941405,0.0954769
Middle East,trn_freight,0.12139,0.122494,0.133599,0.13468
Middle East,trn_pass,0.185571,0.205323,0.221376,0.230844
Middle East,trn_shipping_intl,0.00164607,0.00169387,0.00227259,0.0024193
Pakistan,trn_aviation_intl,0.0809877,0.0820158,0.0912075,0.091741
Pakistan,trn_freight,0.0936023,0.0948521,0.106323,0.107638
Pakistan,trn_pass,0.0390414,0.0425503,0.044919,0.0466056
Pakistan,trn_shipping_intl,0.00164643,0.00168755,0.00225837,0.0023902
Russia,trn_aviation_intl,0.085613,0.0851501,0.0957182,0.0973875
Russia,trn_freight,0.0174109,0.0171112,0.0209852,0.0218781
Russia,trn_pass,0.255156,0.255862,0.282986,0.295932
Russia,trn_shipping_intl,0.00168089,0.00170179,0.00227887,0.00242595
South Africa,trn_aviation_intl,0.0896905,0.0907188,0.0998043,0.101291
South Africa,trn_freight,0.0895186,0.0918475,0.114787,0.120747
South Africa,trn_pass,0.125478,0.133961,0.145333,0.147985
South Africa,trn_shipping_intl,0.0019483,0.00195468,0.00251147,0.00269088
South America_Northern,trn_aviation_intl,0.0924852,0.0938815,0.107305,0.10482
South America_Northern,trn_freight,0.0643471,0.0650346,0.0768285,0.077913
South America_Northern,trn_pass,0.255218,0.257616,0.27954,0.277548
South America_Northern,trn_shipping_intl,0.00168339,0.00172641,0.00244563,0.00245821
South America_Southern,trn_aviation_intl,0.0848642,0.0880532,0.0990019,0.100996
South America_Southern,trn_freight,0.0338247,0.0430232,0.0473926,0.0580476
South America_Southern,trn_pass,0.18532,0.221525,0.244864,0.258214
South America_Southern,trn_shipping_intl,0.00163521,0.00167912,0.00227114,0.00241137
South Asia,trn_aviation_intl,0.0806336,0.0815021,0.0907245,0.0913925
South Asia,trn_freight,0.0405517,0.0353453,0.0502318,0.0488888
South Asia,trn_pass,0.032909,0.0393472,0.0447244,0.0490833
South Asia,trn_shipping_intl,0.00164169,0.00167277,0.00223645,0.00236632
South Korea,trn_aviation_intl,0.0810602,0.0914695,0.104254,0.107975
South Korea,trn_freight,0.266176,0.642388,0.736517,0.970852
South Korea,trn_pass,0.2225,0.293575,0.327258,0.34683
South Korea,trn_shipping_intl,0.00164656,0.00170327,0.00232773,0.00249617
Southeast Asia,trn_aviation_intl,0.0817403,0.0840025,0.0937716,0.0949296
