# File: Rao_multimodel_income_deciles_Gini25.csv
# Title: Rao Income Deciles
# Units: NA
# Description: Income shares for all GCAM regions
# Column types: nncncnc 
# ----------
GCAM_region_ID,year,category,shares,sce,gini,model
29,2015,d1,0.014023059,SSP2,0.475670202,PCA algorithm (Two Components)
2,2015,d5,0.048990031,SSP5,0.532612156,PCA algorithm (Two Components)
2,2015,d5,0.049031163,SSP2,0.53228339,PCA algorithm (Two Components)
2,2015,d5,0.048959364,SSP1,0.532796725,PCA algorithm (Two Components)
2,2015,d5,0.049095788,SSP4,0.531825693,PCA algorithm (Two Components)
2,2015,d5,0.049094634,SSP3,0.531784947,PCA algorithm (Two Components)
5,2015,d4,0.045610708,SSP2,0.479413861,PCA algorithm (Two Components)
5,2015,d4,0.045576985,SSP5,0.479322781,PCA algorithm (Two Components)
5,2015,d4,0.045589558,SSP1,0.479378104,PCA algorithm (Two Components)
5,2015,d4,0.04559169,SSP3,0.479393653,PCA algorithm (Two Components)
5,2015,d4,0.045605243,SSP4,0.479289317,PCA algorithm (Two Components)
26,2015,d1,0.014287625,SSP4,0.485641819,PCA algorithm (Two Components)
26,2015,d1,0.014298776,SSP1,0.485278649,PCA algorithm (Two Components)
26,2015,d1,0.014308387,SSP3,0.485384803,PCA algorithm (Two Components)
22,2015,d1,0.032580196,SSP4,0.316688061,PCA algorithm (Two Components)
22,2015,d1,0.032580196,SSP1,0.316688061,PCA algorithm (Two Components)
22,2015,d1,0.032580196,SSP5,0.316688061,PCA algorithm (Two Components)
22,2015,d1,0.032580196,SSP2,0.316688061,PCA algorithm (Two Components)
26,2015,d1,0.014311092,SSP5,0.485152156,PCA algorithm (Two Components)
22,2015,d1,0.032580196,SSP3,0.316688061,PCA algorithm (Two Components)
26,2015,d1,0.014323921,SSP2,0.485054795,PCA algorithm (Two Components)
4,2015,d5,0.042285367,SSP2,0.574388841,PCA algorithm (Two Components)
4,2015,d5,0.042298844,SSP5,0.574342963,PCA algorithm (Two Components)
4,2015,d5,0.042403263,SSP4,0.573642758,PCA algorithm (Two Components)
4,2015,d5,0.042313814,SSP1,0.57419095,PCA algorithm (Two Components)
4,2015,d5,0.042368463,SSP3,0.573827934,PCA algorithm (Two Components)
2,2015,d6,0.060080195,SSP5,0.532612156,PCA algorithm (Two Components)
2,2015,d6,0.060116221,SSP2,0.53228339,PCA algorithm (Two Components)
2,2015,d6,0.060110277,SSP1,0.532796725,PCA algorithm (Two Components)
2,2015,d6,0.060250186,SSP4,0.531825693,PCA algorithm (Two Components)
2,2015,d6,0.060212586,SSP3,0.531784947,PCA algorithm (Two Components)
17,2015,d2,0.027190853,SSP1,0.493857304,PCA algorithm (Two Components)
17,2015,d2,0.027190853,SSP5,0.493857304,PCA algorithm (Two Components)
17,2015,d2,0.027190853,SSP3,0.493857304,PCA algorithm (Two Components)
17,2015,d2,0.027190853,SSP4,0.493857304,PCA algorithm (Two Components)
17,2015,d2,0.027190853,SSP2,0.493857304,PCA algorithm (Two Components)
5,2015,d5,0.055766434,SSP5,0.479322781,PCA algorithm (Two Components)
5,2015,d5,0.055759657,SSP4,0.479289317,PCA algorithm (Two Components)
5,2015,d5,0.055742646,SSP1,0.479378104,PCA algorithm (Two Components)
5,2015,d5,0.055728495,SSP2,0.479413861,PCA algorithm (Two Components)
5,2015,d5,0.05572656,SSP3,0.479393653,PCA algorithm (Two Components)
18,2015,d1,0.022996293,SSP3,0.405839854,PCA algorithm (Two Components)
18,2015,d1,0.022996293,SSP2,0.405839854,PCA algorithm (Two Components)
18,2015,d1,0.022996293,SSP1,0.405839854,PCA algorithm (Two Components)
18,2015,d1,0.022996293,SSP5,0.405839854,PCA algorithm (Two Components)
18,2015,d1,0.022996293,SSP4,0.405839854,PCA algorithm (Two Components)
24,2015,d2,0.010637334,SSP2,0.638829716,PCA algorithm (Two Components)
24,2015,d2,0.010637334,SSP1,0.638829716,PCA algorithm (Two Components)
24,2015,d2,0.010637334,SSP5,0.638829716,PCA algorithm (Two Components)
24,2015,d2,0.010637334,SSP4,0.638829716,PCA algorithm (Two Components)
24,2015,d2,0.010637334,SSP3,0.638829716,PCA algorithm (Two Components)
2,2015,d7,0.075884003,SSP5,0.532612156,PCA algorithm (Two Components)
2,2015,d7,0.075912772,SSP2,0.53228339,PCA algorithm (Two Components)
2,2015,d7,0.075922081,SSP1,0.532796725,PCA algorithm (Two Components)
2,2015,d7,0.076078139,SSP4,0.531825693,PCA algorithm (Two Components)
2,2015,d7,0.076013227,SSP3,0.531784947,PCA algorithm (Two Components)
4,2015,d6,0.055610884,SSP2,0.574388841,PCA algorithm (Two Components)
4,2015,d6,0.055745417,SSP4,0.573642758,PCA algorithm (Two Components)
4,2015,d6,0.055745596,SSP1,0.57419095,PCA algorithm (Two Components)
4,2015,d6,0.055653195,SSP3,0.573827934,PCA algorithm (Two Components)
4,2015,d6,0.055727302,SSP5,0.574342963,PCA algorithm (Two Components)
22,2015,d2,0.049271141,SSP4,0.316688061,PCA algorithm (Two Components)
22,2015,d2,0.049271141,SSP1,0.316688061,PCA algorithm (Two Components)
22,2015,d2,0.049271141,SSP5,0.316688061,PCA algorithm (Two Components)
22,2015,d2,0.049271141,SSP2,0.316688061,PCA algorithm (Two Components)
22,2015,d2,0.049271141,SSP3,0.316688061,PCA algorithm (Two Components)
5,2015,d6,0.069526227,SSP5,0.479322781,PCA algorithm (Two Components)
5,2015,d6,0.069508455,SSP4,0.479289317,PCA algorithm (Two Components)
5,2015,d6,0.069499303,SSP1,0.479378104,PCA algorithm (Two Components)
5,2015,d6,0.069513234,SSP2,0.479413861,PCA algorithm (Two Components)
5,2015,d6,0.069494811,SSP3,0.479393653,PCA algorithm (Two Components)
29,2015,d2,0.025762512,SSP4,0.475868349,PCA algorithm (Two Components)
29,2015,d2,0.025797352,SSP5,0.475567667,PCA algorithm (Two Components)
29,2015,d2,0.025759381,SSP3,0.47594509,PCA algorithm (Two Components)
29,2015,d2,0.025803328,SSP1,0.475532266,PCA algorithm (Two Components)
29,2015,d2,0.025792305,SSP2,0.475670202,PCA algorithm (Two Components)
17,2015,d3,0.035701804,SSP1,0.493857304,PCA algorithm (Two Components)
17,2015,d3,0.035701804,SSP5,0.493857304,PCA algorithm (Two Components)
17,2015,d3,0.035701804,SSP3,0.493857304,PCA algorithm (Two Components)
17,2015,d3,0.035701804,SSP4,0.493857304,PCA algorithm (Two Components)
17,2015,d3,0.035701804,SSP2,0.493857304,PCA algorithm (Two Components)
9,2015,d2,0.020193939,SSP4,0.53543736,PCA algorithm (Two Components)
9,2015,d2,0.020153367,SSP2,0.535638753,PCA algorithm (Two Components)
9,2015,d2,0.020149668,SSP5,0.535299542,PCA algorithm (Two Components)
9,2015,d2,0.020157921,SSP3,0.53580559,PCA algorithm (Two Components)
9,2015,d2,0.020116447,SSP1,0.535468989,PCA algorithm (Two Components)
2,2015,d8,0.099893585,SSP5,0.532612156,PCA algorithm (Two Components)
2,2015,d8,0.099985362,SSP2,0.53228339,PCA algorithm (Two Components)
2,2015,d8,0.099961476,SSP1,0.532796725,PCA algorithm (Two Components)
2,2015,d8,0.100188903,SSP4,0.531825693,PCA algorithm (Two Components)
2,2015,d8,0.100099392,SSP3,0.531784947,PCA algorithm (Two Components)
32,2015,d1,0.014569928,SSP5,0.498532087,PCA algorithm (Two Components)
32,2015,d1,0.014569928,SSP1,0.498532087,PCA algorithm (Two Components)
32,2015,d1,0.014569928,SSP4,0.498532087,PCA algorithm (Two Components)
32,2015,d1,0.014569928,SSP2,0.498532087,PCA algorithm (Two Components)
32,2015,d1,0.014569928,SSP3,0.498532087,PCA algorithm (Two Components)
27,2015,d1,0.02467307,SSP5,0.398789728,PCA algorithm (Two Components)
27,2015,d1,0.02467307,SSP3,0.398789728,PCA algorithm (Two Components)
27,2015,d1,0.02467307,SSP4,0.398789728,PCA algorithm (Two Components)
27,2015,d1,0.02467307,SSP1,0.398789728,PCA algorithm (Two Components)
27,2015,d1,0.02467307,SSP2,0.398789728,PCA algorithm (Two Components)
22,2015,d3,0.059333277,SSP4,0.316688061,PCA algorithm (Two Components)
22,2015,d3,0.059333277,SSP1,0.316688061,PCA algorithm (Two Components)
22,2015,d3,0.059333277,SSP5,0.316688061,PCA algorithm (Two Components)
22,2015,d3,0.059333277,SSP2,0.316688061,PCA algorithm (Two Components)
22,2015,d3,0.059333277,SSP3,0.316688061,PCA algorithm (Two Components)
10,2015,d2,0.023519856,SSP2,0.408727558,PCA algorithm (Two Components)
10,2015,d2,0.023275103,SSP3,0.410047327,PCA algorithm (Two Components)
10,2015,d2,0.02322651,SSP4,0.410182966,PCA algorithm (Two Components)
10,2015,d2,0.023293895,SSP1,0.40962998,PCA algorithm (Two Components)
5,2015,d7,0.087637639,SSP5,0.479322781,PCA algorithm (Two Components)
5,2015,d7,0.087623296,SSP4,0.479289317,PCA algorithm (Two Components)
5,2015,d7,0.087619604,SSP1,0.479378104,PCA algorithm (Two Components)
5,2015,d7,0.087607737,SSP2,0.479413861,PCA algorithm (Two Components)
5,2015,d7,0.087598561,SSP3,0.479393653,PCA algorithm (Two Components)
7,2015,d1,0.014878664,SSP2,0.493974941,PCA algorithm (Two Components)
7,2015,d1,0.014878664,SSP3,0.493974941,PCA algorithm (Two Components)
7,2015,d1,0.014878664,SSP1,0.493974941,PCA algorithm (Two Components)
7,2015,d1,0.014878664,SSP4,0.493974941,PCA algorithm (Two Components)
7,2015,d1,0.014878664,SSP5,0.493974941,PCA algorithm (Two Components)
4,2015,d7,0.076169217,SSP2,0.574388841,PCA algorithm (Two Components)
4,2015,d7,0.076310602,SSP4,0.573642758,PCA algorithm (Two Components)
4,2015,d7,0.076236323,SSP1,0.57419095,PCA algorithm (Two Components)
4,2015,d7,0.076247411,SSP3,0.573827934,PCA algorithm (Two Components)
4,2015,d7,0.076230888,SSP5,0.574342963,PCA algorithm (Two Components)
17,2015,d4,0.044473152,SSP1,0.493857304,PCA algorithm (Two Components)
17,2015,d4,0.044473152,SSP5,0.493857304,PCA algorithm (Two Components)
17,2015,d4,0.044473152,SSP3,0.493857304,PCA algorithm (Two Components)
17,2015,d4,0.044473152,SSP4,0.493857304,PCA algorithm (Two Components)
17,2015,d4,0.044473152,SSP2,0.493857304,PCA algorithm (Two Components)
21,2015,d1,0.019522573,SSP5,0.441439198,PCA algorithm (Two Components)
21,2015,d1,0.019579333,SSP3,0.440852896,PCA algorithm (Two Components)
21,2015,d1,0.019551229,SSP2,0.441151942,PCA algorithm (Two Components)
21,2015,d1,0.019575589,SSP4,0.440819264,PCA algorithm (Two Components)
21,2015,d1,0.019561232,SSP1,0.441003272,PCA algorithm (Two Components)
22,2015,d4,0.068209137,SSP4,0.316688061,PCA algorithm (Two Components)
22,2015,d4,0.068209137,SSP1,0.316688061,PCA algorithm (Two Components)
22,2015,d4,0.068209137,SSP5,0.316688061,PCA algorithm (Two Components)
22,2015,d4,0.068209137,SSP2,0.316688061,PCA algorithm (Two Components)
22,2015,d4,0.068209137,SSP3,0.316688061,PCA algorithm (Two Components)
10,2015,d2,0.023555457,SSP5,0.408181102,PCA algorithm (Two Components)
9,2015,d3,0.027013394,SSP4,0.53543736,PCA algorithm (Two Components)
9,2015,d3,0.026942244,SSP2,0.535638753,PCA algorithm (Two Components)
9,2015,d3,0.026956264,SSP5,0.535299542,PCA algorithm (Two Components)
9,2015,d3,0.026950316,SSP3,0.53580559,PCA algorithm (Two Components)
9,2015,d3,0.026955461,SSP1,0.535468989,PCA algorithm (Two Components)
24,2015,d3,0.017129965,SSP2,0.638829716,PCA algorithm (Two Components)
24,2015,d3,0.017129965,SSP1,0.638829716,PCA algorithm (Two Components)
24,2015,d3,0.017129965,SSP5,0.638829716,PCA algorithm (Two Components)
24,2015,d3,0.017129965,SSP4,0.638829716,PCA algorithm (Two Components)
24,2015,d3,0.017129965,SSP3,0.638829716,PCA algorithm (Two Components)
18,2015,d2,0.037223962,SSP3,0.405839854,PCA algorithm (Two Components)
18,2015,d2,0.037223962,SSP2,0.405839854,PCA algorithm (Two Components)
18,2015,d2,0.037223962,SSP1,0.405839854,PCA algorithm (Two Components)
18,2015,d2,0.037223962,SSP5,0.405839854,PCA algorithm (Two Components)
18,2015,d2,0.037223962,SSP4,0.405839854,PCA algorithm (Two Components)
2,2015,d9,0.143693933,SSP2,0.53228339,PCA algorithm (Two Components)
2,2015,d9,0.143747035,SSP3,0.531784947,PCA algorithm (Two Components)
2,2015,d9,0.143647236,SSP4,0.531825693,PCA algorithm (Two Components)
2,2015,d9,0.143660089,SSP1,0.532796725,PCA algorithm (Two Components)
2,2015,d9,0.143708651,SSP5,0.532612156,PCA algorithm (Two Components)
22,2015,d5,0.077067037,SSP4,0.316688061,PCA algorithm (Two Components)
22,2015,d5,0.077067037,SSP1,0.316688061,PCA algorithm (Two Components)
22,2015,d5,0.077067037,SSP5,0.316688061,PCA algorithm (Two Components)
